"time","mean_OMUVBd_003_UVindex"
2022-03-04,12.7125187
2022-03-05,11.5441236
2022-03-06,12.6986656
2022-03-07,11.0784035
2022-03-08,12.9690714
2022-03-09,13.2560539
2022-03-10,13.2920923
2022-03-11,12.9667759
2022-03-12,13.9444914
2022-03-13,12.3286219
2022-03-14,13.0506325
2022-03-15,13.4131422
2022-03-16,13.6344385
2022-03-17,12.8075371
2022-03-18,11.8649769
2022-03-19,13.7197657
2022-03-20,11.881218
2022-03-21,12.9343567
2022-03-22,12.2923717
2022-03-23,12.7201014
2022-03-24,13.2499084
2022-03-25,12.76262
2022-03-26,13.2658367
2022-03-27,11.8634539
2022-03-28,14.0142012
2022-03-29,12.683877
2022-03-30,13.1273632
2022-03-31,13.012187
2022-04-01,13.2086163
2022-04-02,12.9731016
2022-04-03,12.948102
2022-04-04,13.0588131
2022-04-05,12.4746466
2022-04-06,12.9175482
2022-04-07,12.840476
2022-04-08,12.5876045
2022-04-09,12.531765
2022-04-10,12.1668301
2022-04-11,12.7437649
2022-04-12,12.977561
2022-04-13,12.7728662
2022-04-14,13.4841623
2022-04-15,12.5935135
2022-04-16,12.1645756
2022-04-17,12.7030945
2022-04-18,11.9077702
2022-04-19,11.5245752
2022-04-20,12.0601635
2022-04-21,12.252018
2022-04-22,12.0915442
2022-04-23,12.2806597
2022-04-24,12.4825249
2022-04-25,11.4894342
2022-04-26,12.0694189
2022-04-27,10.8062191
2022-04-28,11.55937
2022-04-29,12.0638056
2022-04-30,10.8715525
2022-05-01,11.7979136
2022-05-02,11.6684122
2022-05-03,11.8358564
2022-05-04,10.7253714
2022-05-05,11.7186251
2022-05-06,11.2788658
2022-05-07,11.0349464
2022-05-08,10.4205656
2022-05-09,9.83182907
2022-05-10,10.1472187
2022-05-11,10.8110838
2022-05-12,10.7163458
2022-05-13,11.3096972
2022-05-14,9.83213806
2022-05-15,10.8829622
2022-05-16,10.478756
2022-05-17,10.5933056
2022-05-18,10.9411125
2022-05-19,10.3509026
2022-05-20,10.4226866
2022-05-21,9.89661789
2022-05-22,10.1928482
2022-05-23,10.1396704
2022-05-24,9.24551392
2022-05-25,9.03706837
2022-05-26,9.58002949
2022-05-27,9.57729816
2022-05-28,10.589262
2022-05-29,9.99806023
2022-05-30,10.2484074
2022-05-31,10.0977821
2022-06-01,10.138237
2022-06-02,9.65832996
2022-06-03,9.96308327
2022-06-04,9.38379478
2022-06-05,9.59333706
2022-06-06,9.85140133
2022-06-07,9.84950924
2022-06-08,9.97425175
2022-06-09,8.34956169
2022-06-10,9.83989143
2022-06-11,9.24668217
2022-06-12,9.25303841
2022-06-13,9.47199917
2022-06-14,9.65359688
2022-06-15,9.1224556
2022-06-16,8.77251244
2022-06-17,8.8909502
2022-06-18,8.95122719
2022-06-19,9.24114227
2022-06-20,8.92670727
2022-06-21,9.06497383
2022-06-22,9.23406315
2022-06-23,8.51101589
2022-06-24,8.80095863
2022-06-25,9.09871197
2022-06-26,9.22817421
2022-06-27,8.93666363
2022-06-28,8.71878242
2022-06-29,9.47282124
2022-06-30,9.28254986
2022-07-01,9.82823849
